epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8902740478515625,0.27146485447883606,1e-04,0.9482877254486084,0.13988004624843597
1,0.9657034277915955,0.10222376137971878,1e-04,0.9749482870101929,0.08021380752325058
2,0.9788590669631958,0.06562408059835434,1e-04,0.9793151021003723,0.05998638644814491
3,0.9855230450630188,0.045180369168519974,1e-04,0.983222246170044,0.053696539252996445
4,0.9882805943489075,0.035788290202617645,1e-04,0.9848310947418213,0.04932746663689613
5,0.9914976954460144,0.028033193200826645,1e-04,0.9852907657623291,0.04468609020113945
6,0.992876410484314,0.022118540480732918,1e-04,0.9866697192192078,0.04270434007048607
7,0.9954041242599487,0.016041558235883713,1e-04,0.9880487322807312,0.037971023470163345
8,0.9966105818748474,0.01197933778166771,1e-04,0.9901171922683716,0.03472398221492767
9,0.9965531229972839,0.011225031688809395,1e-04,0.9882785677909851,0.03673224896192551
10,0.9970701336860657,0.010080992244184017,1e-04,0.9898873567581177,0.033077359199523926
11,0.9989084601402283,0.0056302668526768684,1e-04,0.9887382388114929,0.0356917679309845
12,0.9989084601402283,0.005240537691861391,1e-04,0.9898873567581177,0.03720923513174057
13,0.9971275925636292,0.009206514805555344,1e-04,0.9910365343093872,0.034209612756967545
